,0
0,0
1,0
2,0
3,0
4,1
5,1
6,3
7,2
8,3
9,2
10,1
11,3
12,0
13,1
14,2
15,2
16,2
17,2
18,2
19,0
20,2
21,2
22,2
23,2
24,0
25,1
26,1
27,2
28,3
29,2
30,3
31,3
32,3
33,3
34,0
35,1
36,3
37,1
38,2
39,0
40,3
41,1
42,2
43,3
44,2
45,0
46,2
47,3
48,3
49,3
50,0
51,0
52,1
53,0
54,0
55,2
56,2
57,2
58,0
59,3
60,0
61,0
62,0
63,2
64,1
65,3
66,2
67,2
68,0
69,0
70,3
71,1
72,1
73,1
74,1
75,3
76,1
77,2
78,2
79,0
80,2
81,0
82,0
83,0
84,0
85,2
86,1
87,1
88,2
89,0
90,0
91,0
92,3
93,0
94,0
95,0
96,2
97,2
98,2
99,1
100,1
101,0
102,3
103,0
104,3
105,3
106,2
107,2
108,3
109,3
110,3
111,1
112,0
113,1
114,0
115,0
116,0
117,1
118,2
119,2
120,2
121,1
122,1
123,2
124,3
125,3
126,0
127,3
128,3
129,0
130,3
131,3
132,1
133,0
134,2
135,1
136,3
137,3
138,3
139,1
140,1
141,1
142,3
143,2
144,2
145,3
146,0
147,3
148,3
149,0
150,1
151,3
152,0
153,1
154,2
155,2
156,0
157,3
158,0
159,0
160,2
161,3
162,2
163,1
164,1
165,0
166,1
167,1
168,1
169,2
170,3
171,2
172,2
173,1
174,0
175,1
176,0
177,2
178,0
179,2
180,1
181,3
182,1
183,2
184,1
185,0
186,1
187,0
188,0
189,1
190,3
191,1
192,2
193,3
194,1
195,2
196,0
197,1
198,1
199,1
200,3
201,2
202,2
203,0
204,3
205,2
206,3
207,3
208,3
209,2
210,3
211,0
212,3
213,2
214,2
215,0
216,1
217,2
218,3
219,1
220,2
221,0
222,2
223,0
224,0
225,0
226,3
227,3
228,2
229,0
230,3
231,2
232,2
233,0
234,3
235,1
236,2
237,2
238,3
239,1
240,3
241,1
242,2
243,2
244,0
245,3
246,3
247,2
248,1
249,0
250,0
251,0
252,3
253,1
254,2
255,0
256,3
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,3
265,1
266,3
267,1
268,2
269,2
270,0
271,1
272,1
273,3
274,2
275,0
276,0
277,1
278,2
279,0
280,0
281,2
282,3
283,0
284,0
285,1
286,2
287,3
288,1
289,1
290,1
291,1
292,0
293,2
294,0
295,2
296,3
297,0
298,0
299,0
300,3
301,1
302,1
303,3
304,3
305,1
306,1
307,1
308,2
309,1
310,1
311,0
312,0
313,1
314,1
315,3
316,2
317,0
318,2
319,3
320,3
321,1
322,3
323,2
324,1
325,2
326,2
327,1
328,3
329,3
330,1
331,3
332,1
333,3
334,0
335,0
336,1
337,2
338,0
339,0
340,1
341,3
342,0
343,1
344,3
345,3
346,3
347,2
348,1
349,3
350,0
351,1
352,3
353,0
354,0
355,0
356,2
357,2
358,0
359,3
360,1
361,3
362,0
363,0
364,0
365,0
366,0
367,2
368,0
369,1
370,0
371,1
372,1
373,3
374,1
375,2
376,0
377,0
378,2
379,3
380,0
381,3
382,0
383,1
384,0
385,3
386,3
387,0
388,3
389,2
390,3
391,3
392,0
393,3
394,0
395,0
396,3
397,2
398,3
399,3
400,3
401,0
402,3
403,0
404,2
405,0
406,1
407,3
408,3
409,1
410,0
411,0
412,0
413,0
414,3
415,0
416,3
417,1
418,3
419,3
420,2
421,1
422,2
423,0
424,2
425,3
426,1
427,0
428,2
429,2
430,2
431,1
432,3
433,0
434,2
435,2
436,2
437,1
438,1
439,3
440,1
441,3
442,2
443,2
444,2
445,3
446,2
447,1
448,3
449,3
450,2
451,0
452,2
453,3
454,0
455,3
456,0
457,0
458,1
459,3
460,2
461,1
462,3
463,0
464,1
465,3
466,0
467,3
468,3
469,1
470,0
471,1
472,1
473,2
474,0
475,3
476,3
477,3
478,0
479,0
480,2
481,3
482,3
483,2
484,0
485,3
486,0
487,3
488,2
489,3
490,3
491,1
492,2
493,3
494,2
495,2
496,0
497,3
498,1
499,2
500,2
501,0
502,2
503,0
504,1
505,2
506,0
507,2
508,0
509,3
510,3
511,1
512,1
513,2
514,0
515,2
516,0
517,0
518,2
519,1
520,0
521,2
522,2
523,3
524,1
525,2
526,0
527,1
528,2
529,2
530,0
531,3
532,0
